day,AAPL,GOOG,MSFT,AMZN,META
1,97.90107929330102,102.06573790140752,100.61785791214682,97.08086506930125,98.89890640149972
2,101.23922743920171,97.27903613839092,99.808315687875,99.62000689755982,97.2478984895794
3,99.92386855904756,97.14350621069136,102.88164973571241,98.40434670856948,96.4364009646952
4,99.10912899547326,101.57606557344228,107.53485393541882,100.45059905010545,97.2327376340163
5,100.63186204374266,104.70245576878642,105.59366092023753,102.89228206538337,94.872117041431
6,99.40614151192008,106.67263693305217,102.67048922274313,102.65576066762878,93.2976341816388
7,98.94869764142359,100.91644474433754,99.14605482517267,101.2794691232073,95.09191964928763
8,98.6549882699437,100.97266261392433,100.57045417281849,99.5632369819938,95.6806941925708
9,97.12720063194959,97.5920878608063,99.83716637504544,100.76278661791169,96.37899913175735
10,97.1527863454132,102.42632180508203,100.71540485838868,102.80601132281673,100.84162262983507
11,94.71791416276349,100.3704623476361,104.3419003275574,101.22872622068166,100.9519698737623
12,96.81379255414937,102.22559554647228,108.12313687680498,104.35467725202672,103.18595113040416
13,95.37679357296797,103.91563265290091,108.85929467553754,101.67385049518556,106.20579692006262
14,96.9776001553833,104.06223639620673,108.40718104097608,99.31574547235144,106.68378447720264
15,97.93938902450734,102.39788390044278,111.01201220928503,97.20868528200808,102.29974361253751
16,100.04732757809872,101.62593075990658,110.78792872497513,95.64177750323219,99.11570563853368
17,102.64209151623247,100.28552293550558,114.58728782169094,97.24717094109127,98.54297511124376
18,100.4871691582417,98.8765504805173,111.89785083295645,101.44311100944404,98.91704535574107
19,102.87700619883138,96.4500315248624,112.35989992655855,103.9131441146534,98.30563577793725
20,105.07311585607752,94.42762876862345,109.39199119632583,104.75700286612175,97.61174548368301
21,106.48429857887594,90.81059368423794,111.01695899741935,110.39992872658534,97.61247565852032
22,106.61032726249692,91.1828598362972,107.01226554851593,111.4005674230137,94.57537302542549
23,105.7551793161466,93.52458379444327,105.50297167603526,112.57924805812299,96.55877553328368
24,106.3995780105917,91.04058176912278,104.8561713600628,117.13716841152804,92.77256687880498
